GO,Embedding_Method,seed,Tree_Build_Method,Tree_Evolution_model,F_max,roc_auc,mcc
BP,deepwalk,0,default,default,0.188451 0.118938 0.453495 0.010000,0.693051,0.198714
BP,deepwalk,1310,default,default,0.162929 0.096889 0.511717 0.010000,0.713318,0.186868
CC,deepwalk,0,default,default,0.296660 0.200680 0.568608 0.010000,0.72887,0.286856
CC,deepwalk,1310,default,default,0.295836 0.200000 0.568022 0.010000,0.758497,0.298285
MF,deepwalk,0,default,default,0.085993 0.048684 0.368019 0.010000,0.66566,0.112734
MF,deepwalk,1310,default,default,0.143665 0.089866 0.357965 0.010000,0.667714,0.159204
BP,network,0,default,default,0.135539 0.079651 0.454308 0.010000,0.665394,0.143247
BP,network,1310,default,default,0.191299 0.124233 0.415724 0.010000,0.676924,0.19192
CC,network,0,default,default,0.375733 0.274490 0.595306 0.010000,0.7538,0.358679
CC,network,1310,default,default,0.444289 0.399457 0.500456 0.010000,0.723025,0.398241
MF,network,0,default,default,0.232017 0.449275 0.156391 0.010000,0.582158,0.257268
MF,network,1310,default,default,0.159183 0.099593 0.396300 0.010000,0.678868,0.163909
BP,tree,0,B,D ,0.257657 0.191000 0.395780 0.010000,0.684697,0.25285
BP,tree,0,B,F,0.170155 0.105317 0.442700 0.010000,0.682636,0.179462
BP,tree,0,B,P,0.118431 0.066787 0.522340 0.010000,0.678546,0.135574
BP,tree,0,D,D,MISSING,MISSING ,MISSING
BP,tree,0,D ,F,0.143207 0.082297 0.551074 0.010000,0.711483,0.170361
BP,tree,0,D ,P,0.171878 0.102134 0.541971 0.010000,0.727793,0.20099
BP,tree,0,O,D,0.146628 0.082874 0.635529 0.010000,0.752648,0.192335
BP,tree,0,O,F,0.193967 0.140909 0.311115 0.010000,0.640321,0.183793
BP,tree,0,O,P,0.175321 0.128946 0.273788 0.010000,0.61884,0.155657
BP,tree,1310,B,D ,0.162986 0.096805 0.515228 0.010000,0.700027,0.179529
BP,tree,1310,B,F,0.156653 0.094358 0.461013 0.010000,0.684132,0.167217
BP,tree,1310,B,P,0.152400 0.088796 0.537160 0.010000,0.700693,0.170301
BP,tree,1310,D,D,0.151051 0.087069 0.569663 0.010000,0.718393,0.178826
BP,tree,1310,D ,F,0.239949 0.239116 0.240787 0.010000,0.609546,0.214627
BP,tree,1310,D ,P,0.162841 0.095469 0.553307 0.010000,0.722646,0.190372
BP,tree,1310,O,D,0.133555 0.075630 0.570506 0.010000,0.704117,0.158526
BP,tree,1310,O,F,0.149502 0.086699 0.542420 0.010000,0.706463,0.172065
BP,tree,1310,O,P,0.133504 0.076008 0.548149 0.010000,0.696927,0.155112
