GO,Embedding_Method,Tree_Build_Method,Tree_Evolution_model,F_max,P_max,R_max,T_max,roc_auc,mcc
BP,deepwalk,default,default,0.17088375,0.1034505,0.50035675,0.01,0.70922225,0.191641
CC,deepwalk,default,default,0.29817925,0.2006295,0.600624,0.01,0.75800925,0.3018535
MF,deepwalk,default,default,0.1250645,0.07727875,0.3597685,0.01,0.6645325,0.14416875
BP,fixed,default,default,0.14464,0.08498875,0.50320375,0.01,0.68911075,0.1607125
CC,fixed,default,default,0.2609395,0.17101525,0.639539,0.01,0.7604225,0.276866
MF,fixed,default,default,0.12324775,0.073075,0.4070155,0.01,0.69249675,0.15321725
BP,network,default,default,0.173799,0.113929,0.42728525,0.01,0.667345,0.1736415
CC,network,default,default,0.41194675,0.34673775,0.543616,0.01,0.7383575,0.38035375
MF,network,default,default,0.1648765,0.178948,0.30948575,0.01,0.64445725,0.1791415
BP,tree,B,D,0.1891455,0.1224055,0.47814425,0.01,0.69869325,0.20152675
BP,tree,B,F,0.20051825,0.15507325,0.40049525,0.01,0.66972625,0.20031325
BP,tree,B,P,0.13795725,0.0798735,0.5252475,0.01,0.6910065,0.1562735
BP,tree,D,D,0.14834675,0.08936425,0.50134425,0.01,0.6889075,0.16351975
BP,tree,D,F,0.168166,0.1216415,0.4910245,0.01,0.69300275,0.1851175
BP,tree,D,P,0.18409425,0.14636875,0.383823,0.01,0.65925825,0.18434575
BP,tree,O,D,0.158493,0.1123545,0.51191225,0.01,0.6973905,0.1775325
BP,tree,O,F,0.19692075,0.14659075,0.43501825,0.01,0.678082,0.20034025
BP,tree,O,P,0.15016125,0.093471,0.48960575,0.2475,0.68823325,0.165386
CC,tree,B,D,0.26856775,0.1759085,0.6101165,0.01,0.75478275,0.2776235
CC,tree,B,F,0.299805,0.19914575,0.61854,0.01,0.75921975,0.30326525
CC,tree,B,P,0.26325825,0.17456075,0.5800685,0.01,0.73963725,0.2675795
CC,tree,D,D,0.26936825,0.185081,0.5963815,0.01,0.743402,0.27607975
CC,tree,D,F,0.3328415,0.26114875,0.51119525,0.01,0.72544925,0.31482425
CC,tree,D,P,0.31386725,0.23984375,0.51361125,0.01,0.71704025,0.29575325
CC,tree,O,D,0.25619475,0.1737705,0.54378475,0.01,0.72026775,0.2549625
CC,tree,O,F,0.25654575,0.18470175,0.5531435,0.01,0.7281405,0.26037775
CC,tree,O,P,0.25195,0.1656525,0.59197375,0.01,0.74480475,0.2625325
MF,tree,B,D,0.12157575,0.07214675,0.4334455,0.01,0.6931655,0.1489545
MF,tree,B,F,0.18392725,0.20901675,0.23964125,0.01,0.60912025,0.16634275
MF,tree,B,P,0.15035875,0.17738125,0.32701825,0.01,0.65404275,0.15805075
MF,tree,D,D,0.1472875,0.1022425,0.331452,0.01,0.65385475,0.15736825
MF,tree,D,F,0.155342,0.115302,0.403982,0.01,0.68355425,0.17142125
MF,tree,D,P,0.156924,0.115901,0.320297,0.01,0.652717,0.16405925
MF,tree,O,D,0.1148445,0.0671745,0.40859175,0.01,0.6845425,0.143483
MF,tree,O,F,0.13157775,0.090573,0.3551255,0.01,0.6596115,0.14219725
MF,tree,O,P,0.13089325,0.07960325,0.41649425,0.01,0.6919,0.1590345
