,accession,deepwalk_embedding
14149,P32234,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]"
3127,P48347,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]"
26305,Q9S9Z8,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]"
21094,P49106,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]"
6144,Q20655,"[ 0.10981876 -0.05749817 -0.17336006  0.14574957  0.12267796  0.26545265
 -0.12286201 -0.01056854  0.43444204 -0.19976977  0.08389239  0.05261029
 -0.15643644 -0.09908123  0.21521334  0.21160209  0.22665861  0.2550135
  0.29138583  0.06052221  0.15597038  0.02594592  0.19378725 -0.09024154
  0.02181374 -0.26513213 -0.03002281 -0.22869436  0.0801367  -0.12272608
  0.30454153 -0.1577394  -0.12452138 -0.07586342  0.32847542 -0.21078014
  0.28717476  0.40018824  0.2149183   0.07041425 -0.25019357 -0.1219125
 -0.2718517   0.1502539   0.0098359   0.02574949  0.2563501   0.3468216
  0.08902116  0.03313015 -0.04213232 -0.16784179 -0.05759842  0.1342372
  0.19763288 -0.12220141 -0.00053844  0.23886205  0.17093103 -0.26970038
 -0.00138349  0.13354915 -0.13490789 -0.00672087  0.05679351  0.19535269
 -0.22167198  0.22547263 -0.13677713  0.22265726  0.04667398  0.19098724
 -0.04160374  0.19653562 -0.16045666 -0.22933263 -0.0551172  -0.10935364
  0.12325636  0.12930267  0.26821807 -0.04901006 -0.17007786 -0.07210175
  0.18136677  0.13403557  0.16091278  0.18524268 -0.05118573  0.1082678
 -0.3417459   0.06811656 -0.11817849 -0.06547508  0.17638886  0.03216892
  0.08171289 -0.04235799 -0.23330182 -0.17394425 -0.1470847  -0.06756971
 -0.12134238 -0.1406533   0.04035342 -0.14459854 -0.1024373   0.02390726
 -0.04123232  0.07279907  0.24573766 -0.11107329 -0.02198397  0.20860378
  0.05317269 -0.12761414  0.12078112  0.35878378 -0.0719722  -0.01264482
  0.10553291 -0.27628288  0.03950633 -0.13858683  0.09787499  0.01281676
 -0.00098729  0.3323455 ]"
24667,Q01526,"[ 0.1508247   0.11242505 -0.1444165   0.03725776  0.17242719  0.09477437
 -0.08813393 -0.07250144  0.3097788  -0.14810818  0.12426092 -0.08771414
 -0.2719728  -0.10822848  0.26963097  0.00651979  0.1260979   0.08728721
  0.15281588  0.1321574   0.12266656 -0.0803269   0.23736194 -0.0172201
 -0.04856622 -0.14604601 -0.09293551 -0.163464    0.12975802 -0.01166757
  0.20543961 -0.1633578  -0.06652229 -0.07052308  0.23617043 -0.16755582
  0.20458192  0.18993668  0.12329122 -0.09148714 -0.30000758 -0.12408927
 -0.12411146  0.25337043 -0.06440172 -0.11327836  0.21390162  0.24151132
  0.00607644 -0.05752974 -0.10911103 -0.09146311 -0.10214846  0.00610311
  0.09274767 -0.15135208 -0.08075263  0.13761559  0.0372041  -0.19731508
  0.08250193  0.01597252 -0.22356017  0.02476827  0.01409344  0.05571958
 -0.04318579  0.17296687 -0.01351676  0.27626103  0.18416153  0.31711477
  0.05750822  0.2685778  -0.00509571 -0.12900805 -0.09598969 -0.03063775
  0.15935874  0.18413995  0.29096946  0.0691797  -0.22930452 -0.3000806
  0.094886    0.18328533  0.13629575 -0.04201651  0.08814545 -0.12896687
 -0.1705841   0.0157622  -0.13066608  0.13028112  0.11261962 -0.08338899
  0.22726886  0.07583935 -0.25305906 -0.11868158 -0.29232502 -0.2593573
 -0.15494008 -0.03420413 -0.12737677 -0.22272316 -0.04868454  0.18787014
 -0.03328392  0.23336205  0.10765795  0.12789243  0.08909398  0.21533237
  0.22359602 -0.1562741   0.05677059  0.28302875  0.06899592 -0.00914798
  0.04019863 -0.31091037  0.02264218  0.01103153  0.04876213 -0.0488248
 -0.05505389  0.14586313]"
12231,P42644,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]"
18082,P42645,"[ 1.11334614e-01 -5.84205911e-02 -1.75855026e-01  1.47873938e-01
  1.24447875e-01  2.69230694e-01 -1.24606915e-01 -1.07785240e-02
  4.40743387e-01 -2.02733353e-01  8.51387009e-02  5.33513613e-02
 -1.58550367e-01 -1.00481682e-01  2.18473285e-01  2.14623183e-01
  2.26649612e-01  2.55095571e-01  2.91436493e-01  6.04874827e-02
  1.56016126e-01  2.60270275e-02  1.93851769e-01 -9.03054625e-02
  2.18183696e-02 -2.65166551e-01 -2.98621580e-02 -2.28649661e-01
  8.00967962e-02 -1.22679129e-01  3.04482549e-01 -1.57758191e-01
 -1.24534205e-01 -7.58294463e-02  3.28537673e-01 -2.10796639e-01
  2.87258238e-01  4.00177121e-01  2.14995578e-01  7.04434365e-02
 -2.50191540e-01 -1.21813111e-01 -2.71817476e-01  1.50266424e-01
  9.89703275e-03  2.56618001e-02  2.56472468e-01  3.46849799e-01
  8.89597982e-02  3.31950113e-02 -4.21366133e-02 -1.67912766e-01
 -5.76514788e-02  1.34196728e-01  1.97685599e-01 -1.22174501e-01
 -4.27629537e-04  2.38902882e-01  1.70976952e-01 -2.69623458e-01
 -1.53941743e-03  1.33679420e-01 -1.34921610e-01 -6.63761795e-03
  5.67178950e-02  1.95316806e-01 -2.21705660e-01  2.25432605e-01
 -1.36734471e-01  2.22661003e-01  4.66064438e-02  1.90997198e-01
 -4.16193306e-02  1.96506023e-01 -1.60435930e-01 -2.29273409e-01
 -5.51889278e-02 -1.09454103e-01  1.23253517e-01  1.29273236e-01
  2.68148243e-01 -4.90295812e-02 -1.70053199e-01 -7.20092729e-02
  1.81376547e-01  1.34011567e-01  1.60843983e-01  1.85296804e-01
 -5.12183271e-02  1.08245537e-01 -3.41766745e-01  6.81291297e-02
 -1.18178532e-01 -6.54940456e-02  1.76382363e-01  3.21878232e-02
  8.16464797e-02 -4.24778387e-02 -2.33463079e-01 -1.74117744e-01
 -1.47218451e-01 -6.75482675e-02 -1.21419854e-01 -1.40784636e-01
  4.04767506e-02 -1.44786939e-01 -1.02562524e-01  2.37952415e-02
 -4.12494615e-02  7.27325156e-02  2.45852783e-01 -1.11237898e-01
 -2.19665039e-02  2.08041653e-01  5.30179851e-02 -1.27312467e-01
  1.20530814e-01  3.57867569e-01 -7.18130320e-02 -1.25532337e-02
  1.05290443e-01 -2.75586307e-01  3.94616947e-02 -1.38320804e-01
  9.76225585e-02  1.27710011e-02 -1.01551763e-03  3.31508994e-01]"
23043,Q06967,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]"
31406,P31946,"[ 1.47279769e-01 -4.43791673e-02 -9.47114304e-02  1.50555924e-01
  1.42896339e-01  2.93406993e-01 -1.20617382e-01  1.58079807e-02
  4.45933014e-01 -1.27677768e-01  1.21990018e-01  6.14754632e-02
 -1.48840964e-01 -1.34766638e-01  3.34934145e-01  1.79154322e-01
  1.99732423e-01  3.04724902e-01  2.79282868e-01  6.90328553e-02
  9.12456587e-02  6.84438497e-02  2.32999712e-01 -1.50755256e-01
 -2.22882871e-02 -2.94949502e-01  1.05018497e-01 -2.99251944e-01
  1.48950055e-01 -1.34813339e-01  2.83450127e-01 -2.71859735e-01
 -7.08293766e-02 -9.71224681e-02  3.23965132e-01 -2.30457738e-01
  3.04708689e-01  3.71127844e-01  3.60335350e-01  6.03510849e-02
 -2.71882683e-01 -1.83167234e-01 -3.70077342e-01  1.75663680e-01
  3.46381068e-02 -6.15642220e-02  2.58258879e-01  3.12592179e-01
  4.55559418e-02  1.26484275e-01 -1.03011213e-01 -1.31094128e-01
 -6.13074638e-02  7.91478828e-02  2.41811320e-01 -1.46050096e-01
  2.22327933e-03  3.16728741e-01  1.35248184e-01 -3.44123840e-01
  1.02360053e-02  2.55402923e-01 -2.12124377e-01  3.72968731e-04
 -5.92464465e-04  1.99531570e-01 -2.11055875e-01  2.00820953e-01
 -7.24127889e-02  3.18922937e-01  1.02275558e-01  3.01603764e-01
 -8.46845955e-02  1.37929946e-01 -1.83524042e-01 -1.21042013e-01
 -1.11578152e-01 -1.51344880e-01  1.55206352e-01  9.64168310e-02
  2.30903700e-01 -6.29448444e-02 -2.07184598e-01 -1.38087496e-01
  1.16024904e-01  1.24597892e-01  2.23038226e-01  2.43466035e-01
 -5.47481924e-02  7.85769671e-02 -3.54492247e-01  8.61268342e-02
 -1.44733638e-01 -1.02051638e-01  8.71819854e-02 -4.98236045e-02
  1.49410695e-01 -8.04091245e-02 -2.66520321e-01 -2.48568773e-01
 -2.48363256e-01 -9.24358144e-02 -1.10383160e-01 -1.49157435e-01
  3.15165780e-02 -2.31006980e-01 -1.04199328e-01  2.11534705e-02
 -1.29676491e-01  7.02364817e-02  2.07415327e-01 -9.22031999e-02
  1.57898664e-02  2.90880352e-01  5.91573417e-02 -1.36112541e-01
  1.61842629e-01  3.49397510e-01 -4.11050208e-02  9.95700136e-02
  1.42339170e-01 -4.55091953e-01  8.78667384e-02 -2.10518301e-01
  1.76719233e-01 -2.36658789e-02 -2.17411891e-02  2.57015228e-01]"
